ID_Venda;Valor
123456789;100
987654321;50
456789123;0
789123456;200
321654987;0
654321987;150
987123654;0
511657536;156
000326532;876
587381657;2313
355146500;214
490001207;14
674189354;321
187381062;0
621283211;68
148449511;564
379166504;0
827182086;213
409829925;546
681812381;0
800410935;761
534885522;36
459995375;157
569516579;153
867014343;21
283336994;321
042798632;86
964377569;846
153167134;321
467416853;248
332770586;846
046673937;7999
387019457;54
102994060;5564
681549061;23
789715324;231
261902565;2312
882857540;215
853845521;2187
952006102;639
405958175;47
897341136;149
272799146;65
011010147;238
055775965;0
404581155;764
839110965;452
736903339;0
480042849;234
006669631;0
790764435;231
724303944;8546
522510498;562
832385809;0
696154807;385
704220821;496
551530015;985
062555974;0
208297497;231
006693327;546
345367906;789
263754605;0
708234239;963
929548651;852
101925667;741
660372118;258
659419601;0
722197264;369
320851357;195
901621736;654
874863415;987
172436762;621
617409871;0
057996465;365
762394849;5666
602671657;2323
329483103;897
130784020;799
552113193;894
921800901;987
276242576;0
493546741;8746
781418386;1236
911821384;987
688555978;45
283129824;350
472713212;2023
052871949;0
157746510;6543
151708106;2012
437022296;986
913447414;624
686412187;0
517769818;795
618190257;48
614510916;0
492498654;79
552259399;79
363400418;879
500525218;564
012659916;261
210433423;654
435749241;0
294501793;654
320376228;87
771610767;465
702371592;0
